run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01,static_top1,1,enzyme_like_fold,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01.json,data/logs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01_denovo.md,a3e647b09209
issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02,static_top1,2,enzyme_like_fold,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02.json,data/logs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02.jsonl,output/reports/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02_denovo.md,040ac08dc857
issue221-real-full-20260418b_static_top1_binding_scaffold_r01,static_top1,1,binding_scaffold,hard,high_cost_sensitive,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_binding_scaffold_r01.json,data/logs/issue221-real-full-20260418b_static_top1_binding_scaffold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_binding_scaffold_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_binding_scaffold_r01_denovo.md,1df393593de3
issue221-real-full-20260418b_static_top1_high_solubility_r01,static_top1,1,high_solubility,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_high_solubility_r01.json,data/logs/issue221-real-full-20260418b_static_top1_high_solubility_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_high_solubility_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_high_solubility_r01_denovo.md,0e763d1dcbd1
issue221-real-full-20260418b_static_top1_high_solubility_r02,static_top1,2,high_solubility,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_high_solubility_r02.json,data/logs/issue221-real-full-20260418b_static_top1_high_solubility_r02.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_high_solubility_r02.jsonl,output/reports/issue221-real-full-20260418b_static_top1_high_solubility_r02_denovo.md,373e5c05f993
issue221-real-full-20260418b_static_top1_secondary_balance_r01,static_top1,1,secondary_balance,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_secondary_balance_r01.json,data/logs/issue221-real-full-20260418b_static_top1_secondary_balance_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_secondary_balance_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_secondary_balance_r01_denovo.md,c76b4549c1bf
issue221-real-full-20260418b_static_top1_secondary_balance_r02,static_top1,2,secondary_balance,medium,standard,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_secondary_balance_r02.json,data/logs/issue221-real-full-20260418b_static_top1_secondary_balance_r02.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_secondary_balance_r02.jsonl,output/reports/issue221-real-full-20260418b_static_top1_secondary_balance_r02_denovo.md,035c365fbd0c
issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,enzyme_like_fold,medium,standard,static_threshold_gate,RUNNING,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01.json,data/logs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,,ce6e8ff3aada
issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,enzyme_like_fold,medium,standard,static_threshold_gate,RUNNING,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02.json,data/logs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,data/snapshots/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,,8dced16a5e41
issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,binding_scaffold,hard,high_cost_sensitive,static_threshold_gate,RUNNING,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01.json,data/logs/issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01.jsonl,,67a1af03a03f
