run_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01,E0,1,enzyme_like_fold,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r01_denovo.md,6bb17eeee46d
issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02,E0,2,enzyme_like_fold,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_enzyme_like_fold_r02_denovo.md,25d281476875
issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01,E0,1,binding_scaffold,hard,high_cost_sensitive,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_binding_scaffold_r01_denovo.md,126255096a56
issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01,E0,1,high_solubility,easy,low_cost_first,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r01_denovo.md,6b872baef8da
issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02,E0,2,high_solubility,easy,low_cost_first,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_high_solubility_r02_denovo.md,0c81bfd44150
issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01,E0,1,secondary_balance,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r01_denovo.md,94d067c2dea0
issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02,E0,2,secondary_balance,medium,standard,single_trajectory,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E0_secondary_balance_r02_denovo.md,8a5c4eb107d1
issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01,E1,1,enzyme_like_fold,medium,standard,multi_branch_selection,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r01_denovo.md,a44551590a6a
issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02,E1,2,enzyme_like_fold,medium,standard,multi_branch_selection,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E1_enzyme_like_fold_r02.jsonl,,6edf37fc7bdb
issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01,E1,1,binding_scaffold,hard,high_cost_sensitive,multi_branch_selection,DONE,True,True,True,True,True,True,True,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-qwen-flash-tunnel-r1/run_configs/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01.json,data/logs/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01.jsonl,output/reports/issue172-live-qwen-flash-tunnel-r1_E1_binding_scaffold_r01_denovo.md,e6b953089d8a
