run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue221-full-20260417_static_top1_enzyme_like_fold_r01,static_top1,1,enzyme_like_fold,medium,standard,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_enzyme_like_fold_r01.json,data/logs/issue221-full-20260417_static_top1_enzyme_like_fold_r01.jsonl,data/snapshots/issue221-full-20260417_static_top1_enzyme_like_fold_r01.jsonl,output/reports/issue221-full-20260417_static_top1_enzyme_like_fold_r01_denovo.md,847f63f4b168
issue221-full-20260417_static_top1_enzyme_like_fold_r02,static_top1,2,enzyme_like_fold,medium,standard,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_enzyme_like_fold_r02.json,data/logs/issue221-full-20260417_static_top1_enzyme_like_fold_r02.jsonl,data/snapshots/issue221-full-20260417_static_top1_enzyme_like_fold_r02.jsonl,output/reports/issue221-full-20260417_static_top1_enzyme_like_fold_r02_denovo.md,d0fdd6e31a55
issue221-full-20260417_static_top1_binding_scaffold_r01,static_top1,1,binding_scaffold,hard,high_cost_sensitive,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_binding_scaffold_r01.json,data/logs/issue221-full-20260417_static_top1_binding_scaffold_r01.jsonl,data/snapshots/issue221-full-20260417_static_top1_binding_scaffold_r01.jsonl,output/reports/issue221-full-20260417_static_top1_binding_scaffold_r01_denovo.md,ceaf8e21e491
issue221-full-20260417_static_top1_high_solubility_r01,static_top1,1,high_solubility,easy,low_cost_first,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_high_solubility_r01.json,data/logs/issue221-full-20260417_static_top1_high_solubility_r01.jsonl,data/snapshots/issue221-full-20260417_static_top1_high_solubility_r01.jsonl,output/reports/issue221-full-20260417_static_top1_high_solubility_r01_denovo.md,3b5389bcd4af
issue221-full-20260417_static_top1_high_solubility_r02,static_top1,2,high_solubility,easy,low_cost_first,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_high_solubility_r02.json,data/logs/issue221-full-20260417_static_top1_high_solubility_r02.jsonl,data/snapshots/issue221-full-20260417_static_top1_high_solubility_r02.jsonl,output/reports/issue221-full-20260417_static_top1_high_solubility_r02_denovo.md,aee5a46b9be4
issue221-full-20260417_static_top1_secondary_balance_r01,static_top1,1,secondary_balance,medium,standard,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_secondary_balance_r01.json,data/logs/issue221-full-20260417_static_top1_secondary_balance_r01.jsonl,data/snapshots/issue221-full-20260417_static_top1_secondary_balance_r01.jsonl,output/reports/issue221-full-20260417_static_top1_secondary_balance_r01_denovo.md,1d43c22e4394
issue221-full-20260417_static_top1_secondary_balance_r02,static_top1,2,secondary_balance,medium,standard,static_single_candidate,DONE,True,False,True,True,True,False,True,['snapshot_path'],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_static_top1_secondary_balance_r02.json,data/logs/issue221-full-20260417_static_top1_secondary_balance_r02.jsonl,data/snapshots/issue221-full-20260417_static_top1_secondary_balance_r02.jsonl,output/reports/issue221-full-20260417_static_top1_secondary_balance_r02_denovo.md,3926b5b36496
issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,enzyme_like_fold,medium,standard,static_threshold_gate,WAITING_PLAN_CONFIRM,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01.json,data/logs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,data/snapshots/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,,bffb2ee3b409
issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,enzyme_like_fold,medium,standard,static_threshold_gate,WAITING_PLAN_CONFIRM,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02.json,data/logs/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,data/snapshots/issue221-full-20260417_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,,a3a74c90ad30
issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,binding_scaffold,hard,high_cost_sensitive,static_threshold_gate,WAITING_PLAN_CONFIRM,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue221-full-20260417/run_configs/issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01.json,data/logs/issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01.jsonl,data/snapshots/issue221-full-20260417_fixed_threshold_gate_binding_scaffold_r01.jsonl,,8c7a702656c1
