run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01,issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01,static_top1,1,enzyme_like_fold,medium,standard,static_single_candidate,DONE,DONE,2026-04-18T03:59:59+00:00,2026-04-18T04:01:57+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01.json,data/logs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02,issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02,static_top1,2,enzyme_like_fold,medium,standard,static_single_candidate,DONE,DONE,2026-04-18T04:01:57+00:00,2026-04-18T04:05:57+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02.json,data/logs/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02.jsonl,output/reports/issue221-real-full-20260418b_static_top1_enzyme_like_fold_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_static_top1_binding_scaffold_r01,issue221-real-full-20260418b_static_top1_binding_scaffold_r01,static_top1,1,binding_scaffold,hard,high_cost_sensitive,static_single_candidate,DONE,DONE,2026-04-18T04:05:57+00:00,2026-04-18T04:11:45+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_binding_scaffold_r01.json,data/logs/issue221-real-full-20260418b_static_top1_binding_scaffold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_binding_scaffold_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_binding_scaffold_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_static_top1_high_solubility_r01,issue221-real-full-20260418b_static_top1_high_solubility_r01,static_top1,1,high_solubility,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-04-18T04:11:45+00:00,2026-04-18T04:17:47+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_high_solubility_r01.json,data/logs/issue221-real-full-20260418b_static_top1_high_solubility_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_high_solubility_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_static_top1_high_solubility_r02,issue221-real-full-20260418b_static_top1_high_solubility_r02,static_top1,2,high_solubility,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-04-18T04:17:47+00:00,2026-04-18T04:21:02+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_high_solubility_r02.json,data/logs/issue221-real-full-20260418b_static_top1_high_solubility_r02.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_high_solubility_r02.jsonl,output/reports/issue221-real-full-20260418b_static_top1_high_solubility_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_static_top1_secondary_balance_r01,issue221-real-full-20260418b_static_top1_secondary_balance_r01,static_top1,1,secondary_balance,medium,standard,static_single_candidate,DONE,DONE,2026-04-18T04:21:02+00:00,2026-04-18T04:23:43+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_secondary_balance_r01.json,data/logs/issue221-real-full-20260418b_static_top1_secondary_balance_r01.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_secondary_balance_r01.jsonl,output/reports/issue221-real-full-20260418b_static_top1_secondary_balance_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_static_top1_secondary_balance_r02,issue221-real-full-20260418b_static_top1_secondary_balance_r02,static_top1,2,secondary_balance,medium,standard,static_single_candidate,DONE,DONE,2026-04-18T04:23:43+00:00,2026-04-18T04:29:25+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_static_top1_secondary_balance_r02.json,data/logs/issue221-real-full-20260418b_static_top1_secondary_balance_r02.jsonl,data/snapshots/issue221-real-full-20260418b_static_top1_secondary_balance_r02.jsonl,output/reports/issue221-real-full-20260418b_static_top1_secondary_balance_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01,issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01,fixed_threshold_gate,1,enzyme_like_fold,medium,standard,static_threshold_gate,FAILED,FAILED,2026-04-18T04:29:25+00:00,2026-04-18T04:30:49+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01.json,data/logs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r01.jsonl,,issue209-baseline-freeze-20260326,,RuntimeError: auto decision loop exhausted before task reached terminal state
issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02,issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02,fixed_threshold_gate,2,enzyme_like_fold,medium,standard,static_threshold_gate,FAILED,FAILED,2026-04-18T04:30:49+00:00,2026-04-18T04:31:20+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02.json,data/logs/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,data/snapshots/issue221-real-full-20260418b_fixed_threshold_gate_enzyme_like_fold_r02.jsonl,,issue209-baseline-freeze-20260326,,RuntimeError: auto decision loop exhausted before task reached terminal state
issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01,issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01,fixed_threshold_gate,1,binding_scaffold,hard,high_cost_sensitive,static_threshold_gate,FAILED,FAILED,2026-04-18T04:31:20+00:00,2026-04-18T04:31:53+00:00,output/experiment/w16-expr-1/issue221-real-full-20260418b/run_configs/issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01.json,data/logs/issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01.jsonl,data/snapshots/issue221-real-full-20260418b_fixed_threshold_gate_binding_scaffold_r01.jsonl,,issue209-baseline-freeze-20260326,,RuntimeError: auto decision loop exhausted before task reached terminal state
