issue,state,title,category,priority,risk,stage_mapping,trace_source,next_action
152,open,W12-Docs-2: 三周成果报告与下一阶段计划,absorbed,p0,medium,W16 closeout historical backlog migration,"GitHub issue #152; reports/w12-issue-152/historical_backlog_closeout.md","Close #152 after this closeout is reviewed"
211,closed,W14-Contracts-1: RuntimeState / BeliefState 契约落地,absorbed,p0,medium,W14 contracts runtime_state / belief_state,"index(3.24-4.24).md; w13-issue-208-code-baseline-audit-gap-list.md","No separate carry-over"
212,closed,W14-Workflow-2: 运行时状态更新器实现,absorbed,p0,medium,W14 workflow state updater,"index(3.24-4.24).md; w13-issue-208-code-baseline-audit-gap-list.md","No separate carry-over"
213,closed,W14-Observability-3: 观测与审计字段补齐,absorbed,p0,medium,W14 observability audit fields,"index(3.24-4.24).md; w13-issue-208-code-baseline-audit-gap-list.md","No separate carry-over"
214,closed,W14-Planner-4: 候选静态评分与运行时状态接缝设计,absorbed,p1,medium,W14 planner runtime score interface,"index(3.24-4.24).md; w13-issue-208-code-baseline-audit-gap-list.md","No separate carry-over"
215,closed,W14-Evaluation-5: 契约级测试与回放样本准备,absorbed,p1,low,W14 replay and contract tests,"index(3.24-4.24).md","No separate carry-over"
216,closed,W15-Workflow-1: 自适应动作选择器接入 Workflow,absorbed,p0,high,W15 action selector integration,"index(3.24-4.24).md; w13-issue-208-code-baseline-audit-gap-list.md","No separate carry-over"
217,closed,W15-Planner-2: 候选重排序与默认建议修正,absorbed,p0,medium,W15 runtime rerank,"index(3.24-4.24).md; reports/w15-issue-217/runtime-rerank-default-recommendation.md","No separate carry-over"
218,closed,W15-Runtime-3: 动态无 belief-state 基线实现,absorbed,p0,medium,W15 dynamic_no_belief_state baseline,"index(3.24-4.24).md","No separate carry-over"
219,closed,W15-Runtime-4: Lite belief-state 主路径实现,absorbed,p0,high,W15 lite_belief_state main path,"index(3.24-4.24).md","No separate carry-over"
220,closed,W15-Workflow-5: 恢复/FSM/边界回归测试,absorbed,p0,medium,W15 recovery and FSM regression,"index(3.24-4.24).md","No separate carry-over"
221,closed,W16-Experiment-1: 四组方法统一实验矩阵执行,absorbed,p0,high,W16 four-group experiment matrix,"docs/evidence/issue-225/write-back-closeout.md; reports/w12-issue-174/evidence-pack-handoff.md","Use as W16 run evidence source"
222,closed,W16-Experiment-2: 指标聚合与分层分析,absorbed,p0,medium,W16 metrics aggregation,"docs/evidence/issue-225/write-back-closeout.md","Use as metric boundary source"
223,closed,W16-Experiment-3: 案例研究与失败分析,absorbed,p1,medium,W16 case and failure analysis,"reports/w12-issue-174/evidence-pack-handoff.md; docs/evidence/issue-225/write-back-closeout.md","Follow up with minimal case bundle"
224,closed,W16-Docs-4: 证据索引、图表和报告模板,absorbed,p0,medium,W16 evidence index and templates,"docs/evidence/issue-224/evidence-index.json; docs/evidence/issue-225/write-back-closeout.md","Use as case/table template source"
225,closed,W16-Release-5: 设计/实验文档回填与 issue 化准备,absorbed,p0,medium,W16 write-back and issue preparation,"docs/evidence/issue-225/write-back-closeout.md","Use closeout drafts A-D for next backlog"
230,open,W16-Evaluation-2a: action-level / belief-state 聚合指标扩展,carry-over,p1,medium,W16/W17 metric extension,"GitHub issue #230; index(3.24-4.24).md","Keep open as action-level metric follow-up"
248,open,W15-Contracts-1c: 活跃工具元数据画像与派生成本/风险接入,carry-over,p0,medium,W15/W17 active tool metadata,"GitHub issue #248; docs/evidence/issue-225/write-back-closeout.md","Keep open as tool readiness dependency"
249,open,W15-Evaluation-1b: 实验分组 canonical naming 与 output mapping 接入,carry-over,p1,medium,W15/W17 canonical naming and output mapping,"GitHub issue #249; docs/evidence/issue-225/write-back-closeout.md","Keep open as experiment naming dependency"
